date_id,Date,Year,Quarter,Month,Week,Day,Period
87,2024-11-18,2024,4,11,47,18,PM
88,2024-04-28,2024,2,4,17,28,AM
89,2024-03-20,2024,1,3,12,20,PM
90,2024-02-27,2024,1,2,9,27,AM
91,2024-11-30,2024,4,11,48,30,PM
92,2024-09-06,2024,3,9,36,6,PM
93,2024-01-01,2024,1,1,1,1,AM
94,2024-05-15,2024,2,5,20,15,AM
95,2024-09-28,2024,3,9,39,28,PM
96,2024-11-14,2024,4,11,46,14,PM
97,2024-06-07,2024,2,6,23,7,AM
98,2024-10-27,2024,4,10,43,27,AM
99,2024-02-26,2024,1,2,9,26,AM
100,2024-06-13,2024,2,6,24,13,PM
101,2024-11-08,2024,4,11,45,8,AM
102,2024-03-29,2024,1,3,13,29,AM
103,2024-11-11,2024,4,11,46,11,AM
104,2024-10-31,2024,4,10,44,31,AM
105,2024-12-24,2024,4,12,52,24,PM
106,2024-08-26,2024,3,8,35,26,PM
107,2024-04-17,2024,2,4,16,17,AM
108,2024-04-29,2024,2,4,18,29,PM
109,2024-07-27,2024,3,7,30,27,PM
110,2024-09-21,2024,3,9,38,21,PM
111,2024-05-28,2024,2,5,22,28,PM
112,2024-12-04,2024,4,12,49,4,AM
113,2024-03-01,2024,1,3,9,1,AM
114,2024-03-11,2024,1,3,11,11,AM
115,2024-04-07,2024,2,4,14,7,PM
116,2024-10-01,2024,4,10,40,1,AM
117,2024-01-04,2024,1,1,1,4,PM
118,2024-07-16,2024,3,7,29,16,AM
119,2024-01-25,2024,1,1,4,25,AM
120,2024-10-08,2024,4,10,41,8,AM
121,2024-04-30,2024,2,4,18,30,PM
122,2024-06-05,2024,2,6,23,5,AM
123,2024-07-13,2024,3,7,28,13,AM
124,2024-06-13,2024,2,6,24,13,PM
125,2024-04-22,2024,2,4,17,22,AM
126,2024-01-15,2024,1,1,3,15,AM
127,2024-11-17,2024,4,11,46,17,AM
128,2024-08-19,2024,3,8,34,19,PM
129,2024-01-14,2024,1,1,2,14,PM
130,2024-12-01,2024,4,12,48,1,PM
131,2024-03-10,2024,1,3,10,10,AM
132,2024-03-14,2024,1,3,11,14,AM
133,2024-05-27,2024,2,5,22,27,AM
134,2024-02-24,2024,1,2,8,24,AM
135,2024-11-24,2024,4,11,47,24,AM
136,2024-09-10,2024,3,9,37,10,AM
137,2024-07-15,2024,3,7,29,15,AM
138,2024-07-03,2024,3,7,27,3,AM
139,2024-10-10,2024,4,10,41,10,AM
140,2024-05-26,2024,2,5,21,26,AM
141,2024-05-25,2024,2,5,21,25,PM
142,2024-04-01,2024,2,4,14,1,PM
143,2024-08-01,2024,3,8,31,1,AM
144,2024-09-08,2024,3,9,36,8,AM
145,2024-10-03,2024,4,10,40,3,PM
146,2024-10-29,2024,4,10,44,29,PM
147,2024-02-06,2024,1,2,6,6,AM
148,2024-12-01,2024,4,12,48,1,AM
149,2024-10-18,2024,4,10,42,18,AM
150,2024-06-24,2024,2,6,26,24,PM
151,2024-07-11,2024,3,7,28,11,AM
152,2024-02-09,2024,1,2,6,9,PM
153,2024-03-22,2024,1,3,12,22,PM
154,2024-09-15,2024,3,9,37,15,PM
155,2024-06-11,2024,2,6,24,11,AM
156,2024-12-07,2024,4,12,49,7,PM
157,2024-09-16,2024,3,9,38,16,AM
158,2024-05-02,2024,2,5,18,2,AM
159,2024-02-24,2024,1,2,8,24,PM
160,2024-06-04,2024,2,6,23,4,AM
161,2024-12-21,2024,4,12,51,21,AM
162,2024-04-29,2024,2,4,18,29,AM
163,2024-08-02,2024,3,8,31,2,AM
164,2024-09-08,2024,3,9,36,8,AM
165,2024-08-30,2024,3,8,35,30,AM
166,2024-01-28,2024,1,1,4,28,AM
167,2024-09-07,2024,3,9,36,7,PM
168,2024-07-04,2024,3,7,27,4,AM
169,2024-10-13,2024,4,10,41,13,PM
170,2024-07-08,2024,3,7,28,8,AM
171,2024-06-02,2024,2,6,22,2,AM
172,2024-03-31,2024,1,3,13,31,AM
173,2024-09-05,2024,3,9,36,5,PM
174,2024-07-29,2024,3,7,31,29,AM
175,2024-02-01,2024,1,2,5,1,AM
176,2024-06-19,2024,2,6,25,19,AM
177,2024-04-30,2024,2,4,18,30,AM
178,2024-11-23,2024,4,11,47,23,AM
179,2024-07-13,2024,3,7,28,13,AM
180,2024-09-05,2024,3,9,36,5,PM
181,2024-11-09,2024,4,11,45,9,PM
182,2024-07-03,2024,3,7,27,3,PM
183,2024-06-26,2024,2,6,26,26,AM
184,2024-03-17,2024,1,3,11,17,AM
185,2024-09-08,2024,3,9,36,8,PM
186,2024-12-03,2024,4,12,49,3,PM
187,2024-11-18,2024,4,11,47,18,PM
188,2024-12-25,2024,4,12,52,25,AM
189,2024-03-01,2024,1,3,9,1,PM
190,2024-04-26,2024,2,4,17,26,AM
191,2024-05-01,2024,2,5,18,1,PM
192,2024-04-21,2024,2,4,16,21,PM
193,2024-01-05,2024,1,1,1,5,AM
194,2024-12-05,2024,4,12,49,5,AM
195,2024-03-06,2024,1,3,10,6,AM
196,2024-12-20,2024,4,12,51,20,PM
197,2024-10-29,2024,4,10,44,29,PM
198,2024-05-07,2024,2,5,19,7,PM
199,2024-12-01,2024,4,12,48,1,PM
200,2024-10-03,2024,4,10,40,3,PM
201,2024-07-16,2024,3,7,29,16,AM
202,2024-03-06,2024,1,3,10,6,PM
203,2024-01-18,2024,1,1,3,18,AM
204,2024-03-03,2024,1,3,9,3,AM
205,2024-06-10,2024,2,6,24,10,PM
206,2024-11-16,2024,4,11,46,16,PM
207,2024-07-30,2024,3,7,31,30,AM
208,2024-10-26,2024,4,10,43,26,PM
209,2024-01-21,2024,1,1,3,21,PM
210,2024-02-15,2024,1,2,7,15,AM
211,2024-12-13,2024,4,12,50,13,AM
212,2024-07-12,2024,3,7,28,12,AM
213,2024-07-10,2024,3,7,28,10,PM
214,2024-11-28,2024,4,11,48,28,PM
215,2023-12-28,2023,4,12,52,28,AM
216,2024-05-13,2024,2,5,20,13,AM
217,2024-07-03,2024,3,7,27,3,AM
218,2024-01-05,2024,1,1,1,5,PM
219,2024-03-14,2024,1,3,11,14,AM
220,2024-02-02,2024,1,2,5,2,AM
221,2024-05-08,2024,2,5,19,8,AM
222,2024-04-27,2024,2,4,17,27,AM
223,2024-04-02,2024,2,4,14,2,PM
224,2024-07-05,2024,3,7,27,5,PM
225,2024-01-30,2024,1,1,5,30,AM
226,2024-03-01,2024,1,3,9,1,AM
227,2024-08-08,2024,3,8,32,8,PM
228,2023-12-28,2023,4,12,52,28,AM
229,2024-07-08,2024,3,7,28,8,PM
230,2024-07-17,2024,3,7,29,17,PM
231,2024-10-22,2024,4,10,43,22,AM
232,2024-10-04,2024,4,10,40,4,PM
233,2024-05-03,2024,2,5,18,3,PM
234,2023-12-30,2023,4,12,52,30,PM
235,2024-06-13,2024,2,6,24,13,AM
236,2024-12-24,2024,4,12,52,24,AM
237,2024-06-07,2024,2,6,23,7,AM
238,2024-09-19,2024,3,9,38,19,PM
239,2024-03-13,2024,1,3,11,13,PM
240,2024-06-28,2024,2,6,26,28,PM
241,2024-04-08,2024,2,4,15,8,PM
242,2024-02-02,2024,1,2,5,2,PM
243,2024-03-22,2024,1,3,12,22,AM
244,2024-05-07,2024,2,5,19,7,AM
245,2024-02-06,2024,1,2,6,6,AM
246,2024-12-17,2024,4,12,51,17,PM
247,2024-12-04,2024,4,12,49,4,AM
248,2024-07-10,2024,3,7,28,10,PM
249,2024-07-12,2024,3,7,28,12,AM
250,2024-01-09,2024,1,1,2,9,AM
251,2024-05-20,2024,2,5,21,20,PM
252,2024-07-21,2024,3,7,29,21,PM
253,2024-05-02,2024,2,5,18,2,AM
254,2024-09-15,2024,3,9,37,15,AM
255,2024-01-10,2024,1,1,2,10,AM
256,2024-11-27,2024,4,11,48,27,PM
257,2024-04-07,2024,2,4,14,7,PM
258,2024-07-30,2024,3,7,31,30,AM
259,2024-05-09,2024,2,5,19,9,AM
260,2024-06-20,2024,2,6,25,20,PM
261,2024-12-08,2024,4,12,49,8,PM
262,2024-06-05,2024,2,6,23,5,AM
263,2024-10-02,2024,4,10,40,2,AM
264,2024-12-26,2024,4,12,52,26,PM
265,2024-10-26,2024,4,10,43,26,AM
266,2024-12-13,2024,4,12,50,13,PM
267,2024-03-23,2024,1,3,12,23,AM
268,2024-03-26,2024,1,3,13,26,AM
269,2024-12-16,2024,4,12,51,16,AM
270,2024-11-12,2024,4,11,46,12,AM
271,2024-12-05,2024,4,12,49,5,AM
272,2024-12-12,2024,4,12,50,12,PM
273,2024-03-03,2024,1,3,9,3,AM
274,2024-10-31,2024,4,10,44,31,PM
275,2024-01-12,2024,1,1,2,12,PM
276,2024-03-24,2024,1,3,12,24,PM
277,2024-05-04,2024,2,5,18,4,AM
278,2024-11-06,2024,4,11,45,6,AM
279,2024-10-04,2024,4,10,40,4,PM
280,2024-08-26,2024,3,8,35,26,PM
281,2024-11-19,2024,4,11,47,19,AM
282,2024-02-24,2024,1,2,8,24,AM
283,2024-02-09,2024,1,2,6,9,PM
284,2024-01-24,2024,1,1,4,24,PM
285,2024-09-01,2024,3,9,35,1,PM
286,2024-01-29,2024,1,1,5,29,PM
287,2024-05-27,2024,2,5,22,27,PM
288,2024-12-27,2024,4,12,52,27,PM
289,2024-08-14,2024,3,8,33,14,AM
290,2024-10-23,2024,4,10,43,23,PM
291,2024-03-24,2024,1,3,12,24,AM
292,2024-03-18,2024,1,3,12,18,PM
293,2024-12-08,2024,4,12,49,8,AM
294,2024-02-10,2024,1,2,6,10,PM
295,2024-07-07,2024,3,7,27,7,AM
296,2024-10-21,2024,4,10,43,21,PM
297,2024-11-27,2024,4,11,48,27,AM
298,2024-11-06,2024,4,11,45,6,AM
299,2024-01-29,2024,1,1,5,29,PM
300,2024-11-24,2024,4,11,47,24,PM
301,2024-06-07,2024,2,6,23,7,PM
302,2024-11-17,2024,4,11,46,17,AM
303,2024-12-18,2024,4,12,51,18,AM
304,2024-09-26,2024,3,9,39,26,PM
305,2024-06-14,2024,2,6,24,14,PM
306,2024-01-02,2024,1,1,1,2,PM
307,2024-05-20,2024,2,5,21,20,AM
308,2024-11-25,2024,4,11,48,25,AM
309,2024-05-25,2024,2,5,21,25,PM
310,2024-07-10,2024,3,7,28,10,AM
311,2024-09-30,2024,3,9,40,30,PM
312,2024-08-01,2024,3,8,31,1,AM
313,2024-12-08,2024,4,12,49,8,AM
314,2024-01-15,2024,1,1,3,15,AM
315,2024-03-01,2024,1,3,9,1,PM
316,2024-01-05,2024,1,1,1,5,AM
317,2024-10-29,2024,4,10,44,29,AM
318,2024-12-02,2024,4,12,49,2,AM
319,2024-06-28,2024,2,6,26,28,AM
320,2024-07-10,2024,3,7,28,10,PM
321,2024-09-16,2024,3,9,38,16,PM
322,2024-08-24,2024,3,8,34,24,AM
323,2024-02-08,2024,1,2,6,8,AM
324,2024-09-28,2024,3,9,39,28,AM
325,2024-12-15,2024,4,12,50,15,PM
326,2024-10-01,2024,4,10,40,1,PM
327,2024-09-19,2024,3,9,38,19,AM
328,2024-11-09,2024,4,11,45,9,AM
329,2024-10-24,2024,4,10,43,24,PM
330,2024-09-17,2024,3,9,38,17,AM
331,2024-05-25,2024,2,5,21,25,PM
332,2024-07-28,2024,3,7,30,28,AM
333,2024-03-16,2024,1,3,11,16,PM
334,2024-07-18,2024,3,7,29,18,PM
335,2024-04-26,2024,2,4,17,26,AM
336,2024-01-17,2024,1,1,3,17,PM
337,2024-12-21,2024,4,12,51,21,PM
338,2024-03-13,2024,1,3,11,13,AM
339,2024-02-19,2024,1,2,8,19,PM
340,2024-02-06,2024,1,2,6,6,PM
341,2024-10-11,2024,4,10,41,11,PM
342,2024-03-06,2024,1,3,10,6,PM
343,2024-06-27,2024,2,6,26,27,PM
344,2024-10-08,2024,4,10,41,8,AM
345,2024-07-13,2024,3,7,28,13,PM
346,2024-12-09,2024,4,12,50,9,AM
347,2024-09-30,2024,3,9,40,30,AM
348,2024-08-05,2024,3,8,32,5,AM
349,2024-04-05,2024,2,4,14,5,PM
350,2024-07-02,2024,3,7,27,2,AM
351,2024-10-02,2024,4,10,40,2,PM
352,2024-04-13,2024,2,4,15,13,AM
353,2024-01-30,2024,1,1,5,30,AM
354,2024-11-06,2024,4,11,45,6,AM
355,2024-01-26,2024,1,1,4,26,AM
356,2024-06-18,2024,2,6,25,18,AM
357,2024-11-22,2024,4,11,47,22,AM
358,2024-03-07,2024,1,3,10,7,PM
359,2024-04-22,2024,2,4,17,22,PM
360,2024-01-17,2024,1,1,3,17,AM
361,2024-12-21,2024,4,12,51,21,PM
362,2024-12-27,2024,4,12,52,27,AM
363,2024-07-12,2024,3,7,28,12,AM
364,2024-06-10,2024,2,6,24,10,AM
365,2024-01-09,2024,1,1,2,9,PM
